"Generate now!","Générer !"
Tuesday,Mardi
Wednesday,Mercredi
Thursday,Jeudi
Friday,Vendredi
Saturday,Samedi
Sunday,Dimanche
"Days of the week","Jours"
"Hours of the day","Heures"
Monday,Lundi
"No data feed generated. Please click the update button or define a schedule.","Aucun flux actuellement généré. Veuillez cliquer sur le bouton de mise à jour ou mettez à jour la programmation."
"Last update: ","Dernière mise à jour : "
"Google Product Ratings: generate reviews feeds","Google Product Ratings: génère les flux d'avis de produits"
"Website id, -w 0 for the default config (all reviews in one file)","Website id, -w 0 pour la config par défaut (tous les avis dans un seul fichier)"
"Storeview id","Storeview id"
"~~~ Generate feed for the default config ~~~","~~~ Génère le flux de la config par défaut ~~~"
"Default data feed generated: %1","Flux (par défaut) généré : %1"
"~~~ File %1 ~~~","~~~ Fichier %1 ~~~"
"~~~ Generate feed for website #%1 (%2) ~~~","~~~ Génère le flux pour du website #%1 (%2) ~~~"
"Website #%1: data feed generated: %2","Website #%1 : flux généré: %2"
"~~~ Generate feed for storeview #%1 (%2) ~~~","~~~ Génère le flux pour de la storeview #%1 (%2) ~~~"
"Storeview #%1: data feed generated: %2","Storeview #%1 : flux généré: %2"
"Storeview #%1 (%2) is disabled","Storeview #%1 (%2) est désactivée"
"~~~ Storeview #%1 (%2) is disabled ~~~","~~~ Storeview #%1 (%2) est désactivée ~~~"
"Google Product Ratings","Google Product Ratings"
"License activation","Activation de la licence"
"Extension version","Version de l'extension"
"Activation key","Clef d'activation"
"<span class=""notice"">Enter your activation key and click on `save config`.</span>","<span class=""notice"">Renseignez votre clef d'activation et cliquez sur `Enregistrer la configuration`</span>"
"Activation code","Code de licence"
"<span class=""notice"">Enter your license code <b>only if prompted<b>.</span>","<span class=""notice"">Renseignez votre code de licence<b>seulement si demandé<b>.</span>"
"General settings","Paramètres généraux"
"Enable log reporting","Activer le log"
"Data feed settings","Paramètres du flux"
"Publisher name","Nom de la personne qui publie les avis"
"Collection method","Méthode de collecte"
"<span class=""notice"">The method used to collect the review. The value must be one of the following:<br/>Unsolicited - The user was not responding to a specific solicitation when they submitted the review.<br/>Post_fulfillment - The user submitted the review in response to a solicitation after fulfillment of the user's order.</span>","<span class=""notice"">Méthode utilisée pour collecter les avis. Cette valeur doit être l'une des suivantes : <br/>Non sollicité - L'utilisateur ne répondait pas à une sollicitation spécifique lorsqu'il à soumis son avis.<br/>Post exécution - L'utilisateur à soumis son avis après avoir reçu une sollicitation suite au traitement de sa commande.</span>"
"Product settings","Paramètres du Produit"
"Use minimal configuration","Utiliser la configuration minimale"
"<span class=""notice"">Minimal configuration doesn't require any additional settings</span>","<span class=""notice"">La configuration minimale ne nécessite aucun paramétrage supplémentaire</span>"
"Attributes mapping","Mappage des attributs"
"GTIN attribute","Attribut GTIN"
"<span class=""notice"">Attribute to use as the Global Trade Item Number</span>","<span class=""notice"">Attribut à utiliser comme code d'article international du produit</span>"
"MPN attribute","Attribut MPN"
"<span class=""notice"">Attribute to use as the Manufacturer Part Number</span>","<span class=""notice"">Attribut à utiliser comme numéro de pièce fabricant du produit</span>"
"SKU attribute","Attribut SKU"
"<span class=""notice"">Attribute to use as the product SKU</span>","<span class=""notice"">Attribut à utiliser comme SKU du produit</span>"
"Brand attribute","Attribut Marque"
"<span class=""notice"">Attribute to use as the product's brand</span>","<span class=""notice"">Attribut à utiliser comme marque du produit</span>"
"Name attribute","Attribut Nom"
"<span class=""notice"">Attribute to use as the product name, if this attribute is empty, then the default name is used.</span>","<span class=""notice"">Attribut à utiliser comme nom du produit, si cet attribut est vide, le nom par défaut est utilisé.</span>"
"Data Feed Update","Mise à jour du flux"
Schedule,Programmation
"Cron job reporting","Rapport des tâches cron"
"Enable cron job reporting","Activer les rapports"
"Send the data feed generation report by email","Envoyer le rapport de génération de flux par email"
"Email settings","Paramètres de l'email"
"Sender Email","Adresse email de l'expéditeur"
"Sender Name","Nom de l'expéditeur"
"Send the report to","Envoyer les rapports à"
"Emails must be separated with a comma (,).","Les adresses emails doivent être séparées par des virgules (,)."
"Email subject","Sujet de l'email"
"File storage","Stockage de fichier"
"File path","Chemin du fichier"
"<span class=""notice"">Directory where to store the data feed (relative to Magento root directory) </span>","<span class=""notice"">Chemin où enregistrer le flux (relatif au dossier racine de Magento) </span>"
"File name","Nom du fichier"
"<span class=""notice"">Use alphanumeric characters only</span>","<span class=""notice"">Utiliser uniquement des caractères alphanumeriques</span>"
"File link","Lien vers le fichier"
